GEO_ID,NAME,S1701_C03_009E,S1701_C03_010E,S1701_C03_016E,S1701_C03_017E
0500000US17015,"Carroll County, Illinois",12.8,56.7,2.6,12.9
0500000US17017,"Cass County, Illinois",12.3,18.7,25.3,9.9
0500000US17019,"Champaign County, Illinois",17,43.1,37.4,15.8
0500000US17021,"Christian County, Illinois",14.5,58.4,15.8,14.5
0500000US17023,"Clark County, Illinois",13.3,70.4,42.9,12.9
0500000US17025,"Clay County, Illinois",12.9,100,3.1,13
0500000US17027,"Clinton County, Illinois",8.3,47.1,8.5,8.4
0500000US17029,"Coles County, Illinois",21.5,54.4,31.3,21.3
0500000US17031,"Cook County, Illinois",11.2,29.9,21.7,8.2
0500000US17033,"Crawford County, Illinois",13.9,34.5,62.8,13.3
0500000US17035,"Cumberland County, Illinois",13.9,0,38,13.9
0500000US17037,"DeKalb County, Illinois",14.6,45.3,36.6,14
0500000US17039,"De Witt County, Illinois",11.7,54.2,35.1,11.6
0500000US17041,"Douglas County, Illinois",10.9,16.1,17.3,10.7
0500000US17043,"DuPage County, Illinois",6,18.9,15.9,4.5
0500000US17045,"Edgar County, Illinois",17.4,82.8,45.7,17.2
0500000US17047,"Edwards County, Illinois",12.4,0,74.4,11.8
0500000US17049,"Effingham County, Illinois",10.3,57.4,6.9,10.4
0500000US17051,"Fayette County, Illinois",16.1,33.3,41.4,15.9
0500000US17053,"Ford County, Illinois",11.2,42,14.1,11.1
0500000US17055,"Franklin County, Illinois",18.8,56.7,36.6,18.6
0500000US17057,"Fulton County, Illinois",14.7,36,29.5,14.5
0500000US17059,"Gallatin County, Illinois",16.6,19,0,16.6
0500000US17061,"Greene County, Illinois",15.4,100,20,15.4
0500000US17063,"Grundy County, Illinois",8.9,37.3,12.6,8.5
0500000US17065,"Hamilton County, Illinois",16.7,37.8,0,16.8
0500000US17067,"Hancock County, Illinois",11.8,39.5,32.2,11.6
0500000US17069,"Hardin County, Illinois",22.4,100,84.3,21.8
0500000US17071,"Henderson County, Illinois",10.1,66.7,14.6,10.1
0500000US17073,"Henry County, Illinois",9.8,48.7,15.2,9.6
0500000US17075,"Iroquois County, Illinois",13.9,56.8,36.6,13.2
0500000US17077,"Jackson County, Illinois",26.5,60.1,58.7,25.7
0500000US17079,"Jasper County, Illinois",6.4,53.8,11.2,6.4
0500000US17081,"Jefferson County, Illinois",15.2,36.3,26.7,14.9
0500000US17083,"Jersey County, Illinois",7.3,21.3,9.4,7.3
0500000US17085,"Jo Daviess County, Illinois",8.8,18.6,15,8.6
0500000US17087,"Johnson County, Illinois",15.2,37,12.5,15.2
0500000US17089,"Kane County, Illinois",7.5,31.8,20.6,5.3
0500000US17091,"Kankakee County, Illinois",11,37.8,27.6,9.8
0500000US17093,"Kendall County, Illinois",4.8,14.8,9.4,4.5
0500000US17095,"Knox County, Illinois",14.8,51.7,35.4,14
0500000US17097,"Lake County, Illinois",8,26.3,17.6,5.6
0500000US17099,"LaSalle County, Illinois",12,56.2,18.3,11.6
0500000US17101,"Lawrence County, Illinois",12.4,18.7,4.1,12.5
0500000US17103,"Lee County, Illinois",10.3,32.3,22.2,9.8
0500000US17105,"Livingston County, Illinois",10.5,38.3,20,10.2
0500000US17107,"Logan County, Illinois",11.6,52.9,10,11.6
0500000US17109,"McDonough County, Illinois",23,58.7,63,22.5
0500000US17111,"McHenry County, Illinois",6.6,21.9,19,5.9
0500000US17113,"McLean County, Illinois",13,41.8,21.4,12.8
0500000US17115,"Macon County, Illinois",13.3,41,34.9,12.9
0500000US17117,"Macoupin County, Illinois",12.3,9.2,23.7,12.2
0500000US17119,"Madison County, Illinois",11.7,34.6,21.2,11.5
0500000US17121,"Marion County, Illinois",17.2,33.5,31.8,16.9
0500000US17123,"Marshall County, Illinois",11.1,0,25.5,11.1
0500000US17125,"Mason County, Illinois",16.3,64.3,0,16.5
0500000US17127,"Massac County, Illinois",17.6,34.3,4.5,17.8
0500000US17129,"Menard County, Illinois",9.6,0,11.5,9.5
0500000US17131,"Mercer County, Illinois",10.6,42.2,21.9,10.5
0500000US17133,"Monroe County, Illinois",4.9,2.3,31.2,4.8
0500000US17135,"Montgomery County, Illinois",14.4,15.1,1.6,14.4
0500000US17137,"Morgan County, Illinois",12.7,38.2,16.8,12.7
0500000US17139,"Moultrie County, Illinois",14.5,12.5,13.9,14.5
0500000US17141,"Ogle County, Illinois",10.9,28.4,25.6,9.4
0500000US17143,"Peoria County, Illinois",11.8,38.7,24.4,11.3
0500000US17145,"Perry County, Illinois",16,35.5,29,15.7
0500000US17147,"Piatt County, Illinois",6.7,0,3.4,6.7
0500000US17149,"Pike County, Illinois",15.2,59.1,41.5,14.9
0500000US17151,"Pope County, Illinois",15,77.5,35.1,14.9
0500000US17153,"Pulaski County, Illinois",14.1,28.5,23.5,13.5
0500000US17155,"Putnam County, Illinois",9.2,100,17.9,8.8
0500000US17157,"Randolph County, Illinois",10.9,38,16.1,10.9
0500000US17159,"Richland County, Illinois",15.1,51.7,4.5,15.2
0500000US17161,"Rock Island County, Illinois",11.7,32.9,19.3,11.2
0500000US17163,"St. Clair County, Illinois",9.6,35.5,23.1,9
0500000US17165,"Saline County, Illinois",20.1,52.7,63,19.4
0500000US17167,"Sangamon County, Illinois",11.1,37.5,23.6,11
0500000US17169,"Schuyler County, Illinois",15.5,100,9.7,15.6
0500000US17171,"Scott County, Illinois",13.5,-,0,13.6
0500000US17173,"Shelby County, Illinois",11.4,4.1,25.5,11.3
0500000US17175,"Stark County, Illinois",9.5,35.3,56.4,9.2
0500000US17177,"Stephenson County, Illinois",12.6,36.8,28.7,12.2
0500000US17179,"Tazewell County, Illinois",8.9,16.3,17.3,8.8
0500000US17181,"Union County, Illinois",16.7,55.6,25.9,16.8
0500000US17183,"Vermilion County, Illinois",13.9,51.7,24.8,13.4
0500000US17185,"Wabash County, Illinois",13,9.7,49.7,12.5
0500000US17187,"Warren County, Illinois",12.9,48.6,25.8,13
0500000US17189,"Washington County, Illinois",11.8,49.5,16,11.9
0500000US17191,"Wayne County, Illinois",15,89.4,41.1,14.7
